Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Nyborgkredsen,,Mette Rahbek,Alternativet,0
Nyborgkredsen,,Partiliste,Socialdemokratiet,0
Nyborgkredsen,,Jan Johansen,Socialdemokratiet,0
Nyborgkredsen,,Trine Bramsen,Socialdemokratiet,0
Nyborgkredsen,,Bjørn Brandenborg,Socialdemokratiet,0
Nyborgkredsen,,Erik Christensen,Socialdemokratiet,0
Nyborgkredsen,,Alexander Grandt,Socialdemokratiet,0
Nyborgkredsen,,Dan Jørgensen,Socialdemokratiet,0
Nyborgkredsen,,Julie Skovsby,Socialdemokratiet,0
Nyborgkredsen,,Kim Aas,Socialdemokratiet,0
Nyborgkredsen,,Partiliste,Radikale Venstre,0
Nyborgkredsen,,Anne Skau Styrishave,Radikale Venstre,0
Nyborgkredsen,,Camilla Hersom,Radikale Venstre,0
Nyborgkredsen,,Søren Hillers,Radikale Venstre,0
Nyborgkredsen,,Rasmus Helveg Petersen,Radikale Venstre,0
Nyborgkredsen,,Partiliste,Det Konservative Folkeparti,0
Nyborgkredsen,,Mai Mercado,Det Konservative Folkeparti,0
Nyborgkredsen,,Kristian Guldfeldt,Det Konservative Folkeparti,0
Nyborgkredsen,,Roya Moore,Det Konservative Folkeparti,0
Nyborgkredsen,,Jørgen Nielsen,Det Konservative Folkeparti,0
Nyborgkredsen,,Camilla Lydiksen,Det Konservative Folkeparti,0
Nyborgkredsen,,Caroline Lauritsen,Det Konservative Folkeparti,0
Nyborgkredsen,,Partiliste,Nye Borgerlige,0
Nyborgkredsen,,Klaus Kroll,Nye Borgerlige,0
Nyborgkredsen,,Annette Skov Andersson,Nye Borgerlige,0
Nyborgkredsen,,Benny Bindslev,Nye Borgerlige,0
Nyborgkredsen,,Partiliste,Klaus Riskær Pedersen,0
Nyborgkredsen,,Gert Dyrn,Klaus Riskær Pedersen,0
Nyborgkredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Karsten Hønge,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Line Mørk,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Ditte Helene Rasmussen,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Rasmus Peter Henriksen,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Anders Funch Engelstad,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Dennis Ørsted Petersen,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Pia Havgaard Henriksen,SF - Socialistisk Folkeparti,0
Nyborgkredsen,,Partiliste,Liberal Alliance,0
Nyborgkredsen,,Carsten Bach,Liberal Alliance,0
Nyborgkredsen,,Ken Nørregaard,Liberal Alliance,0
Nyborgkredsen,,Lars Christensen,Liberal Alliance,0
Nyborgkredsen,,Frederik Nilausen Dam,Liberal Alliance,0
Nyborgkredsen,,Jonas Møller Simonsen,Liberal Alliance,0
Nyborgkredsen,,Maria Dahl Hedegaard,Liberal Alliance,0
Nyborgkredsen,,Partiliste,Kristendemokraterne,0
Nyborgkredsen,,Rise Eskildsen,Kristendemokraterne,0
Nyborgkredsen,,Michael Jensen,Kristendemokraterne,0
Nyborgkredsen,,Margit Lund-Cramer,Kristendemokraterne,0
Nyborgkredsen,,Jenan Jamel Bozo,Kristendemokraterne,0
Nyborgkredsen,,Per Nansted,Kristendemokraterne,0
Nyborgkredsen,,Kim Slott,Kristendemokraterne,0
Nyborgkredsen,,Simon Lavdal,Kristendemokraterne,0
Nyborgkredsen,,Gert Broxgaard,Kristendemokraterne,0
Nyborgkredsen,,Jens Ole Madsen,Kristendemokraterne,0
Nyborgkredsen,,Partiliste,Dansk Folkeparti,0
Nyborgkredsen,,Lars Kolling,Dansk Folkeparti,0
Nyborgkredsen,,Carsten Kudsk,Dansk Folkeparti,0
Nyborgkredsen,,Jens Henrik W. Thulesen Dahl,Dansk Folkeparti,0
Nyborgkredsen,,Alex Ahrendtsen,Dansk Folkeparti,0
Nyborgkredsen,,Pernille Bendixen,Dansk Folkeparti,0
Nyborgkredsen,,Betina Signe Stick,Dansk Folkeparti,0
Nyborgkredsen,,René Jørgensen,Dansk Folkeparti,0
Nyborgkredsen,,Eva Jørgensen,Dansk Folkeparti,0
Nyborgkredsen,,Partiliste,Stram Kurs,0
Nyborgkredsen,,Martin Christensen,Stram Kurs,0
Nyborgkredsen,,Mikkel Brinck Søberg,Stram Kurs,0
Nyborgkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Bo Libergren,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Mark Grossmann,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Jane Heitmann,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Araz Khan,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Ole Pedersen,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Victoria Velasquez,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Jesper Kiel,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Reza Javid,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Jonas Hulgaard Ammundsen,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Camille Hvillum,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Kasper Philbert,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,,Partiliste,Alternativet,0
Nyborgkredsen,,Stine B. Helles,Alternativet,0
Nyborgkredsen,,Fabian Munkholm Davidsen,Alternativet,0
Nyborgkredsen,,Mikkel Holm-Pedersen,Alternativet,0
Nyborgkredsen,,Line Gessø Hansen,Alternativet,0
Nyborgkredsen,,Tine Busk,Alternativet,0
Nyborgkredsen,,Karl Magnus Bidstrup,Alternativet,0
Nyborgkredsen,,Mette Rahbek,Alternativet,0
